PEAK;Ttr;II_tr;Compounds;M_H;NA_02_R2;AV_01_R1;AV_01_R2;SA_02_R1_F;SA_02_R2_F;AV_06_R1_F;AV_06_R2_F;SA_04_R2_EXO;AV_05_R2_EXO
1;9,206;0,206;Gallic_acid;169;4,37;5,89;0;0;8,67;9,26;8,06;4,43;4,42
2;10,197;0,197;Hydroxytyrosol_elenolate;391;0;36,07;5,03;0;8,66;179,47;30,49;4,57;27,44
3;11,515;0,515;Hydroxytyrosol_4_O_glucoside;315;0;44,33;0;0;0;114,97;0;-1;7,07
4;11,548;0,548;Hydroxytyrosol;153;1,3;35,05;0;0;-1;-1,56;5,16;-1;4,08
5;11,678;0,678;Secologanol;389;7,59;9,96;0;44,49;0;0;0;0;0
6;11,698;0,698;Elenolic_acid_glucoside;241;0;87,87;0;18,22;0;0;0;0;0
7;11,91;0,91;Demethyloleuropein;525;0;2621,03;4278,44;319,26;8,66;627,01;97,79;5,17;6,19
8;11,953;0,953;Verbascoside;623;7,02;7,31;0;154,38;14,12;15,92;51,15;7,13;7,17
9;12,385;0,385;Oleoside;389;5,19;98,26;0;113,13;8,66;423,84;102,15;0;5,19
10;12,545;0,545;Elenolic_acid_glucoside;241;0;69,8;81,81;106,35;14,12;559,46;35,36;9,62;8,26
11;12,715;0,715;Verbascoside;623;6,95;132,22;0;271,31;14,12;1522,82;130,6;0;7,19
12;13,43;0,43;Tyrosol;137;3,86;12,89;3,95;8,36;0;0;0;4,4;3,96
13;15,377;0,377;Elenolic_acid_glucoside;403;0;43,23;7,18;21,86;14,12;27,24;11,68;35,71;7,19
14;15,516;0,516;Luteolin_glucuronide;461;0;39,8;5,66;29,15;-1;25,32;7,42;0;0
15;15,638;0,638;Demethyloleuropein;525;8,59;9,06;31,14;9,4;8,66;249,38;11,83;0;7,13
16;15,69;0,69;Rutin;609;0,9;6,82;9;28,85;1,72;28,14;12,74;0;0,89
