PEAK;Ttr;II_tr;Compounds;M_H;SA_02_R2_EXT;SA_02_R2;BN_01_R2;SA_09_R2;BN_05_R2
1;9,206;0,206;Gallic_acid;169;9,15;9,06;13,33;9,15;11,05
2;10,197;0,197;Hydroxytyrosol_elenolate;391;25,6;52,66;28,63;34,85;35,49
3;11,515;0,515;Hydroxytyrosol_4_O_glucoside;315;0;0;-1;-1;0,76
4;11,548;0,548;Hydroxytyrosol;153;7,96;1,27;-1;-1;-1
5;11,678;0,678;Secologanol;389;49,28;19;16,88;9,62;22,98
6;11,698;0,698;Elenolic_acid_glucoside;241;32,95;17,48;20,26;14,22;16,53
7;11,91;0,91;Demethyloleuropein;525;17,01;11,5;10,3;9,14;16,58
8;11,953;0,953;Verbascoside;623;17,69;17,08;14,23;14,2;14,97
9;12,385;0,385;Oleoside;389;71,24;17,46;15,95;22,35;17,46
10;12,545;0,545;Elenolic_acid_glucoside;241;33,37;15,05;14,42;14,5;16,22
11;12,715;0,715;Verbascoside;623;14,75;14,25;14,33;14,21;16,02
12;13,43;0,43;Tyrosol;137;8,01;0;7,98;8,03;8,15
13;15,377;0,377;Elenolic_acid_glucoside;403;0;0;14,39;14,2;15,36
14;15,516;0,516;Luteolin_glucuronide;461;0;0;9,48;6,79;10,25
15;15,638;0,638;Demethyloleuropein;525;0;0;24,38;11,93;8,94
16;15,69;0,69;Rutin;609;0;0;5,84;2;1,77
18;16,662;0,662;Quercetin_3_O_rutinoside;609;0;0;2,39;2,13;3,43
19;16,733;0,733;Luteolin_glucoside;447;0;0;-1;-1;-1
20;16,768;0,768;Oleuropein_glucoside;701;13,8;19,47;0;9,16;29,41
21;16,948;0,948;6_b_rhamnopyranosyl_oleoside;535;0;0;0;14,33;14,3
22;17,827;0,827;6_b_hexopyranosyl_oleoside;609;0;0;0;14,19;17,54
23;18,825;0,825;Luteolin_glucoside;447;0;0;0;0;-1
24;18,876;0,876;Oleuropein_glucoside;701;0;9,44;9,03;9,08;12,69
25;19,504;0,504;Elenolic_acid;;0;0;0;9,27;11,53
26;19,63;0,63;Luteolin_3.7_O_diglucoside;535;0;0;0;17,4;17,44
27;19,922;0,922;Oleuropein;539;38,46;12,93;8,96;9,1;8,99
28;20,395;0,395;Luteolin_glucoside;447;-1;0;0;0;1,55
29;20,531;0,531;Oleuropein;539;0;0;0;0;10,01
30;21,474;0,474;Luteolin_glucoside;447;6,08;14,8;0;0;-1
31;22,377;0,377;Luteolin_glucoside;447;-1;0;0;0;0
32;24,517;0,517;Oleuropein;539;0;15,11;0;0;0
33;25,533;0,533;Oleuropein;539;0;0;0;0;12,91
37;26,59;0,59;Oleuropein_derivate;377;0;0;27,32;0;13,61
39;27,454;0,454;Oleuropein_derivate;377;0;0;9,22;0;0
40;27,465;0,465;Oleuropein_derivate;377;0;0;44,45;0;0
41;27,638;0,638;Oleuropein_derivate;377;0;0;11,83;0;13,4
42;27,672;0,672;Oleacein;319;75,71;52,98;13,55;0;0
43;27,735;0,735;Oleuropein_derivate;377;0;0;0;0;9,24
44;28,771;0,771;Oleuropein_derivate;377;46,5;0;9,64;0;29,18
45;29,593;0,593;Ligstroside_aglycone;361;7,92;7,91;7,91;0;0
46;29,611;0,611;Ligstroside_aglycone;361;0;0;7,93;7,96;8,02
47;29,815;0,815;Oleuropein_derivate;377;56,63;0;75,83;42,43;57,95
48;29,86;0,86;Oleuropein_derivate;377;8,96;8,04;10,42;0;23,89
49;29,932;0,932;Ligstroside_aglycone;361;7,94;6,52;8,04;0;7,95
50;30,735;0,735;Luteolin;285;17,76;-1;6,52;6,24;6,27
51;30,905;0,905;Apigenin;269;0,57;0,08;-1;-1;-1
52;31,667;0,667;Oleuropein_derivate;377;9,06;8,9;17,11;0;0
54;34,853;0,853;Ligstroside_aglycone;361;8,11;9,16;11,99;8,06;0
